Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Magnus Georg Jensen;54
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Anne-Sofie Sadolin;10
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Maria Georgi Sloth;17
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Thomas Markmann;5
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Emil Moselund;11
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Marianne Mortensen;5
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Mikkel Senna Odoom;4
1. Østerbro;2. 1. Nord;B;Radikale Venstre;Julie Herdal;5
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Partiliste;464
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Helle Bonnesen;82
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Lasse Vogel Andersen;3
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Pernille Birch;7
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Rasmus Bjergegaard;19
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Nikolaj Bøgh;27
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Line Ervolder;31
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Helene Fagerhøj;21
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Carina Høedt;15
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Anders Havelund Krøyer;5
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Niels Peder Ravn;11
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Anders Storgaard;44
1. Østerbro;2. 1. Nord;C;Det Konservative Folkeparti;Mia Tang;11
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Partiliste;400
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Lisbeth Bech-Nielsen;58
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Carl Valentin;35
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Nanna Bonde;40
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Sadek Al-Amood;16
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Halime Oguz;10
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Kasper Nordborg Kiær;13
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Rune Palm;8
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Cecilie Louise Balbay Holdt;9
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Mikkel Sammy Christensen;6
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Morten Bering;3
1. Østerbro;2. 1. Nord;F;SF - Socialistisk Folkeparti;Bjarke Bisgaard Yolal;0
